id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_referral_nurse,ACS Medicament referral,model_hms_referral,group_hms_referral,1,1,1,1
access_hms_referral_receive,ACS referral,model_hms_referral,group_hms_receive_referral,1,1,1,0
access_hms_referral_coordinator,ACS referral,model_hms_referral,group_hms_coordinator_referral,1,1,1,1
,,,,,,,
access_referral_service,ACS service referral,model_hms_referral_service,group_hms_referral,1,1,1,1
access_referral_service_rec,ACS service referral,model_hms_referral_service,group_hms_receive_referral,1,1,1,1
access_referral_service_coord,ACS service referral,model_hms_referral_service,group_hms_coordinator_referral,1,1,1,1
,,,,,,,
access_referral_multi,ACS multi referral,model_hms_multi_referral,group_hms_referral,1,1,1,1
access_referral_multi_rec,ACS multi referral,model_hms_multi_referral,group_hms_receive_referral,1,1,1,1
access_referral_multi_coord,ACS multi referral,model_hms_multi_referral,group_hms_coordinator_referral,1,1,1,1
